word1	word2	cnt1@2	cnt2@1	blank1	blank2	len1	len2	cnt1@1	cnt2@2
war	troops	6	1	18842	2448	320228	44825	1096	19
record	number	3	8	1820	15922	35135	208942	155	881
skin	eye	10	4	7317	13069	135025	216258	284	578
Japanese	American	1	0	1442	2111	30337	39691	74	224
theater	history	0	54	15570	17503	231671	291701	48	967
volunteer	motto	0	0	9733	3834	176760	81682	470	150
prejudice	recognition	0	0	8271	1944	143595	38389	188	141
decoration	valor	0	0	1605	1360	32236	27017	79	80
century	year	11	84	5303	12176	98444	206846	105	524
century	nation	10	14	5303	6677	98444	117015	105	383
delay	racism	0	0	1556	36464	30603	602698	116	1345
delay	news	0	0	1556	28420	30603	362594	116	1160
minister	party	0	0	1270	6556	26493	102487	58	362
peace	plan	0	2	13211	2787	211109	48270	764	193
minority	peace	0	0	1551	13211	32463	211109	107	764
attempt	peace	1	4	6382	13211	98169	211109	137	764
government	crisis	3	0	5523	4420	128194	69253	124	206
deployment	departure	0	0	1275	1795	27144	34467	48	138
deployment	withdrawal	0	0	1275	1218	27144	25415	48	55
energy	crisis	3	0	19773	4420	288241	69253	828	206
announcement	news	4	0	1159	28420	24331	362594	45	1160
announcement	effort	0	0	1159	1230	24331	25313	45	55
stroke	hospital	0	19	26712	13244	513512	198986	1097	628
disability	death	0	2	18344	13797	312446	242022	1086	612
victim	emergency	2	0	1840	5466	34899	94713	137	278
treatment	recovery	0	0	1402	2207	28261	40579	67	160
journal	association	0	0	1440	1679	29916	34961	74	118
doctor	personnel	0	0	1995	11634	38933	212953	179	14
doctor	liability	0	0	1995	1335	38933	26775	179	64
liability	insurance	70	0	1335	20294	26775	275743	64	1329
school	center	0	12	8682	2327	149420	44339	637	198
reason	hypertension	1	0	16560	19725	248219	419346	607	810
reason	criterion	0	0	16560	1736	248219	34600	607	107
hundred	percent	5	3	8701	5139	184472	87176	55	231
Harvard	Yale	81	64	22545	27951	446316	500346	1512	1726
hospital	infrastructure	10	3	13244	7621	198986	142234	628	305
death	row	3	33	13797	1392	242022	27916	612	87
death	inmate	3	0	13797	5812	242022	110579	612	43
lawyer	evidence	0	5	17284	4247	244734	78675	368	225
life	death	116	51	29728	13797	608091	242022	776	612
life	term	0	36	29728	1530	608091	29502	776	136
word	similarity	0	0	5255	1373	96099	28912	171	65
board	recommendation	0	0	1684	1189	33263	25064	153	46
governor	interview	0	0	9031	3071	133143	59385	391	214
OPEC	country	0	11	17424	4804	346874	97269	734	133
peace	atmosphere	0	1	13211	5314	211109	95293	764	277
peace	insurance	0	0	13211	20294	211109	275743	764	1329
territory	kilometer	0	0	5669	5457	119102	112845	148	36
travel	activity	0	0	7149	1452	143788	30579	331	65
competition	price	0	8	9534	4973	142216	89031	290	225
consumer	confidence	0	0	2932	2302	61024	44305	230	95
consumer	energy	0	0	2932	19773	61024	288241	230	828
problem	airport	0	0	13666	13856	200410	221335	493	897
car	flight	7	0	17940	7878	331263	121912	713	292
credit	card	7	0	1419	2136	28905	40590	82	280
credit	information	0	4	1419	11625	28905	233123	82	403
hotel	reservation	3	0	12097	1304	213421	26857	1132	57
grocery	money	0	0	7921	13256	136150	224586	200	420
registration	arrangement	0	0	2287	7174	43509	135790	48	101
arrangement	accommodation	0	0	7174	1512	135790	30725	101	75
month	hotel	10	0	10228	12097	196262	213421	280	1132
type	kind	15	3	1529	1290	29919	26270	137	78
arrival	hotel	0	0	1837	12097	34784	213421	174	1132
bed	closet	5	0	8996	2594	139871	51442	591	142
closet	clothes	0	4	2594	10446	51442	185997	142	61
situation	conclusion	0	0	1367	1448	27375	29556	81	76
situation	isolation	0	0	1367	2067	27375	39507	81	158
impartiality	interest	0	0	2264	25368	39848	201092	56	346
direction	combination	1	0	1553	37016	30535	190530	95	159
street	place	6	15	7786	1839	126727	34812	375	130
street	avenue	4	11	7786	1397	126727	28178	375	77
street	block	1	3	7786	2301	126727	42063	375	280
street	children	2	2	7786	7553	126727	151138	375	101
listing	proximity	0	0	1253	1227	24902	25058	50	54
listing	category	0	12	1253	1977	24902	41319	50	157
cell	phone	11	4	1968	9913	36813	158764	168	554
production	hike	0	0	1448	1245	30726	25160	73	49
benchmark	index	0	20	1480	3453	31018	49743	93	303
media	trading	93	0	2004	10820	39573	202688	232	44
media	gain	49	0	2004	1488	39573	30112	232	92
dividend	payment	0	15	6773	3731	108493	58554	347	138
dividend	calculation	0	0	6773	2029	108493	40915	347	58
calculation	computation	6	14	2029	2305	40915	45934	58	101
currency	market	0	28	11959	1783	239624	36360	305	228
OPEC	oil	0	570	17424	4107	346874	75738	734	224
oil	stock	3	7	4107	8893	75738	133128	224	413
announcement	production	0	0	1159	1448	24331	30726	45	73
announcement	warning	0	0	1159	1709	24331	33728	45	150
profit	warning	1	0	1409	1709	28425	33728	94	150
profit	loss	1	0	1409	1533	28425	28855	94	114
dollar	yen	101	6	8027	14486	161987	285615	832	567
dollar	buck	3	5	8027	2056	161987	36749	832	182
dollar	profit	0	1	8027	1409	161987	28425	832	94
dollar	loss	0	0	8027	1533	161987	28855	832	114
computer	software	108	83	21271	7233	350414	122955	944	429
network	hardware	4	0	1616	1692	33712	34065	148	125
phone	equipment	0	15	9913	1402	158764	29961	554	121
equipment	maker	0	0	1402	1565	29961	30404	121	91
luxury	car	6	1	1360	17940	26577	331263	85	713
five	month	2	3	13891	10228	252238	196262	201	280
report	gain	7	0	2734	1488	53282	30112	147	92
investor	earning	0	6	4453	1164	75107	24410	171	39
liquid	water	61	68	9044	23982	138640	422888	243	1475
baseball	season	0	41	29001	10580	484681	181334	1599	395
game	victory	0	0	9633	2510	145672	49777	688	113
game	team	6	6	9633	7057	145672	111605	688	480
marathon	sprint	0	13	24598	1630	502459	33039	1315	113
game	series	3	3	9633	1692	145672	33942	688	85
game	defeat	0	0	9633	1136	145672	25023	688	41
seven	series	0	68	20021	1692	341229	33942	561	85
seafood	sea	9	635	14583	40136	262527	698426	381	1415
seafood	food	16	595	14583	20171	262527	351934	381	1031
seafood	lobster	71	54	14583	9705	262527	206595	381	427
lobster	food	0	202	9705	20171	206595	351934	427	1031
lobster	wine	0	0	9705	22864	206595	454436	427	1915
food	preparation	3	28	20171	1298	351934	25813	1031	64
video	archive	0	5	8547	7403	155052	135620	557	407
start	year	14	0	1924	12176	38065	206846	197	524
start	match	13	0	1924	8694	38065	149859	197	430
game	round	0	14	9633	1714	145672	34227	688	153
boxing	round	4	91	19746	1714	285207	34227	723	153
championship	tournament	22	18	2401	5357	43131	67875	117	171
fighting	defeating	0	0	2944	1045	59248	25303	33	48
line	insurance	116	0	2920	20294	51266	275743	333	1329
day	summer	116	0	8493	6416	152942	123756	276	182
summer	drought	0	0	6416	11954	123756	230547	182	376
summer	nature	2	3	6416	21235	123756	391539	182	298
day	dawn	41	9	8493	3934	152942	71393	276	159
nature	environment	0	120	21235	1967	391539	39883	298	140
environment	ecology	223	6	1967	35559	39883	701251	140	986
nature	man	0	158	21235	7319	391539	128362	298	246
man	woman	417	5	7319	21544	128362	388982	246	245
man	governor	94	0	7319	9031	128362	133143	246	391
murder	manslaughter	66	47	15513	4537	276942	82038	551	159
soap	opera	0	0	8611	20418	136693	291797	452	1102
opera	performance	6	19	20418	2448	291797	53068	1102	81
life	lesson	0	0	29728	2566	608091	43891	776	115
focus	life	1	2	2228	29728	41485	608091	233	776
production	crew	3	0	1448	1695	30726	33823	73	96
television	film	36	29	28665	15943	477282	235703	1089	973
lover	quarrel	0	0	1814	1253	35178	25747	159	63
viewer	serial	3	0	1270	1557	25616	30901	61	120
possibility	girl	0	0	1496	13228	29726	220147	57	467
population	development	0	23	7437	2456	149338	45118	477	238
morality	importance	0	0	13887	1482	258667	30523	268	48
morality	marriage	6	7	13887	40795	258667	651271	268	1504
Mexico	Brazil	37	8	41525	47340	764253	932803	1628	2315
gender	equality	3	64	25822	1639	384319	33360	1330	92
change	attitude	9	0	2617	1691	47368	33172	293	132
family	planning	3	11	23409	3806	396241	71304	813	252
opera	industry	1	1	20418	7565	291797	156545	1102	264
sugar	approach	0	0	19247	1198	386575	25211	929	55
practice	institution	1	0	1455	5974	29339	96394	100	249
ministry	culture	0	0	1442	12556	29618	232134	74	644
problem	challenge	0	5	13666	1960	200410	39534	493	180
size	prominence	9	0	3628	6318	57761	89402	158	238
country	citizen	12	1	4804	11155	97269	182886	133	538
planet	people	0	2	26359	2822	502548	56758	1610	78
development	issue	0	1	2456	1605	45118	31090	238	130
experience	music	6	3	6870	30459	143374	434410	175	2679
music	project	0	26	30459	3470	434410	65076	2679	216
glass	metal	0	58	15293	10779	268303	182376	1292	645
aluminum	metal	2	380	23132	10779	440183	182376	166	645
chance	credibility	0	0	1750	2762	35403	56168	155	112
exhibit	memorabilia	3	0	1287	3650	25931	75628	54	33
concert	virtuoso	0	0	6013	2486	116158	46316	157	65
rock	jazz	58	0	2280	31802	44121	465017	270	1732
museum	theater	8	1	23627	15570	347216	231671	1754	48
observation	architecture	0	0	5243	14526	96307	275998	174	562
space	world	13	11	7377	4911	120495	83845	255	216
preservation	world	0	0	1462	4911	30489	83845	90	216
admission	ticket	4	0	1295	1644	26223	32056	59	112
shower	thunderstorm	2	0	6380	15138	112992	275286	413	447
shower	flood	0	1	6380	11412	112992	194802	413	502
weather	forecast	5	50	8844	1307	156767	26620	236	72
disaster	area	0	4	4507	32698	86030	304772	241	502
governor	office	0	10	9031	8241	133143	126000	391	374
architecture	century	0	19	14526	5303	275998	98444	562	105
