word1	word2	cnt1	cnt2	cnt12
day	dawn	16400000	12600000	168000
nature	environment	13000000	12500000	366000
environment	ecology	12500000	11300000	198000
nature	man	13000000	17600000	138000
man	woman	17600000	13100000	3640000
man	governor	17600000	11900000	8120
murder	manslaughter	12200000	1200000	104000
soap	opera	12000000	16100000	3300000
opera	performance	12600000	13000000	157000
life	lesson	16900000	12900000	853000
focus	life	12600000	17000000	148000
production	crew	14200000	12400000	195000
television	film	12600000	16800000	237000
lover	quarrel	12400000	808000	3340
viewer	serial	15700000	12700000	14400
possibility	girl	8490000	15800000	1860
population	development	12300000	13100000	135000
morality	importance	5910000	12200000	1720
morality	marriage	5910000	12300000	16100
Mexico	Brazil	14600000	12600000	292000
gender	equality	12100000	11200000	1590000
change	attitude	13200000	11800000	54200
family	planning	15600000	12600000	3720000
opera	industry	12600000	12700000	5600
sugar	approach	12500000	12200000	2800
practice	institution	12800000	12100000	9000
ministry	culture	12200000	13100000	52400
problem	challenge	12900000	12600000	30500
size	prominence	14600000	1310000	4830
country	citizen	14400000	12100000	23800
planet	people	14700000	14700000	114000
development	issue	13100000	12600000	122000
experience	music	12900000	18500000	218000
music	project	18500000	16700000	351000
glass	metal	13100000	13900000	323000
aluminum	metal	12100000	14000000	261000
chance	credibility	12300000	5490000	389
exhibit	memorabilia	12000000	11100000	2550
concert	virtuoso	13000000	2090000	3230
rock	jazz	14800000	12800000	363000
museum	theater	15400000	12900000	142000
observation	architecture	11700000	13200000	3260
space	world	15500000	18100000	134000
preservation	world	11200000	18100000	11500
admission	ticket	12200000	12900000	390000
shower	thunderstorm	12300000	4640000	3980
shower	flood	12300000	12000000	2670
weather	forecast	13400000	12500000	12300000
disaster	area	12000000	19100000	172000
governor	office	11900000	15400000	1960000
architecture	century	13200000	12500000	9720
